name,short_code,type,region,district,latitude,longitude,zone
KAPELEKESI,102361-3,public,Songwe,Ileje DC,-9.528385,33.489666,shighland
KAPEMBA,115024-2,public,Katavi,Tanganyika DC,-5.53721,30.58446,shighland
KAPETA,102362-1,public,Songwe,Ileje DC,-9.473826,33.668962,shighland
KAPINGA,123264-4,private,Ruvuma,Mbinga DC,-11.03637,34.80029,shighland
KAPOMBE,110952-9,private,Mbeya,Mbeya CC,-8.91871,33.41432,shighland
KAPOZWA,102363-9,public,Rukwa,Kalambo DC,-8.58475,31.24245,shighland
KAPUGI,102364-7,public,Mbeya,Rungwe DC,-9.317925,33.591683,shighland
KAPUNGA,112098-9,public,Mbeya,Mbarali DC,-8.68967,34.05553,shighland
KARAGO,102366-2,public,Kigoma,Uvinza DC,-5.28404,29.80053,central
Karagwe DC,124679-2,public,Kagera,Karagwe DC,,,lake
KARAGWE DISTRICT,113921-1,public,Kagera,Karagwe DC,-1.48837,31.16418,lake
KARAMBA,102368-8,public,Kilimanjaro,Mwanga DC,-3.771923,37.834105,northern
KARAMBA,102369-6,public,Kilimanjaro,Same DC,-4.478201,38.112974,northern
KARAMBI,102370-4,public,Kagera,Muleba DC,-2.10592,31.5024,lake
KARANGAI,102372-0,public,Arusha,Meru DC,-3.47771,36.8687,northern
KARANGASI,102229-2,public,Tabora,Uyui DC,-5.562109,34.008944,central
KARANSI,120851-1,public,Kilimanjaro,Siha DC,-3.18324,36.99722,northern
KARASECO,102375-3,private,Kagera,Karagwe DC,-1.46307,31.18084,lake
KARASHA,110376-1,public,Songwe,Mbozi DC,-9.04305,32.97258,shighland
KARATU,102376-1,public,Arusha,Karatu DC,-3.339992,35.669432,northern
Karatu DC,124643-8,public,Arusha,Karatu DC,,,northern
KARATU LUTHERAN,102377-9,private,Arusha,Karatu DC,-3.337586,35.626898,northern
KARATU RC,102378-7,private,Arusha,Karatu DC,-3.34556,35.68218,northern
KAREMA,102381-1,public,Katavi,Tanganyika DC,-6.81633,30.44368,shighland
KARIAKOO,102382-9,private,Dar Es Salaam,Ilala MC,-6.81983,39.27571,coastal
KARIAKOO EYE CENTRE,112968-3,private,Mwanza,Nyamagana MC,,,lake
KARITU,102385-2,public,Tabora,Nzega DC,-4.30573,32.9786,central
KARMEL,102386-0,private,Kilimanjaro,Moshi DC,-3.33759,37.48723,northern
KARONGO,108579-4,public,Kagera,Kyerwa DC,-1.54798,30.91296,lake
KARSHAY,109210-5,private,Mtwara,Tandahimba DC,-10.75318,39.62988,southern
KARUKEKERE,102387-8,public,Mara,Bunda DC,-2.06709,33.5447,lake
KARUMO,102390-2,public,Mwanza,Sengerema DC,-2.500977,32.805992,lake
KASAHUNGA,102391-0,public,Mara,Bunda DC,-2.15067,33.5112,lake
KASAKA,102392-8,public,Kigoma,Kibondo DC,-3.74841,30.59518,central
KASAKA,110146-8,private,Kigoma,Kigoma DC,-4.86057,29.69613,central
KASALA,102393-6,public,Geita,Chato DC,-2.89902,31.79016,lake
KASALA,114244-7,public,Mbeya,Kyela DC,-9.54976,33.84537,shighland
KASAMBO,122340-3,private,Dar Es Salaam,Ubungo MC,-6.81575,39.23151,coastal
KASAMWA,102395-1,private,Geita,Geita TC,-2.8475,32.42935,lake
KASAMWA RHC,102394-4,public,Geita,Geita TC,-2.85115,32.39511,lake
KASANDA,102396-9,public,Kigoma,Kakonko DC,-3.37508,30.8734,central
KASANDALALA,102397-7,public,Tabora,Sikonge DC,-5.42964,32.7422,central
KASANG'WA,102404-1,public,Geita,Geita DC,-2.721869,31.850882,lake
KASANGA,102399-3,public,Tabora,Nzega DC,-4.41358,32.68431,central
KASANGA,102400-9,public,Iringa,Mufindi DC,-8.63447,35.13924,shighland
KASANGA,102398-5,public,Rukwa,Kalambo DC,-8.45802,31.14373,shighland
KASANGA,121850-2,public,Morogoro,Morogoro DC,-6.18448,37.72445,coastal
